project,type,category,support
jfreechart,name,MT,0.8571428571428571
jfreechart,body,MT,0.8571428571428571
jfreechart,name,MT,0.8571428571428571
jfreechart,body,MT,0.5714285714285714
jfreechart,name,MT,0.9917355371900827
jfreechart,body,MT,0.9834710743801653
jfreechart,name,MT,0.5333333333333333
jfreechart,body,ER,0.6
jfreechart,body,CR,0.7073170731707317
jfreechart,body,CR,0.7560975609756098
jfreechart,body,MT,0.9
jfreechart,name,MT,0.9
jfreechart,body,MT,1.0
jfreechart,name,MT,0.5333333333333333
jfreechart,name,MT,0.9917355371900827
jfreechart,body,MT,0.9834710743801653
jfreechart,name,MT,1.0
jfreechart,name,MT,1.0
jfreechart,body,MT,1.0
jfreechart,body,MT,1.0
jfreechart,body,CR,0.6666666666666666
jfreechart,body,CR,0.6666666666666666
jfreechart,body,CR,0.6666666666666666
jfreechart,name,MT,0.6666666666666666
jfreechart,name,CR,0.6666666666666666
jfreechart,name,CR,0.6666666666666666
jfreechart,body,CR,0.6666666666666666
jfreechart,name,CR,0.6666666666666666
jfreechart,name,MT,1.0
jfreechart,name,MT,1.0
jfreechart,name,MT,1.0
jfreechart,body,MT,1.0
jfreechart,body,MT,1.0
jfreechart,body,MT,1.0
jfreechart,body,MT,0.9834710743801653
jfreechart,name,MT,0.9917355371900827
jfreechart,body,MT,0.5555555555555556
jfreechart,name,MT,0.5555555555555556
jfreechart,body,MT,0.8571428571428571
jfreechart,body,MT,0.5714285714285714
jfreechart,name,MT,0.5555555555555556
jfreechart,body,MT,0.5555555555555556
jfreechart,body,MT,0.9834710743801653
jfreechart,name,CR,0.9917355371900827
jfreechart,body,MT,0.75
jfreechart,name,MT,0.75
jfreechart,name,MT,0.8571428571428571
jfreechart,body,MT,0.8571428571428571
jfreechart,body,CR,0.6666666666666666
jfreechart,name,MT,0.5333333333333333
jfreechart,body,MT,1.0
jfreechart,name,MT,0.5555555555555556
jfreechart,body,MT,0.5555555555555556
jfreechart,name,MT,1.0
jfreechart,body,MT,0.75
jfreechart,name,MT,1.0
jfreechart,name,MT,0.5714285714285714
jfreechart,body,MT,0.5714285714285714
jfreechart,body,ER,0.5555555555555556
jfreechart,body,ER,0.5555555555555556
jfreechart,body,CR,0.7073170731707317
jfreechart,body,CR,0.7560975609756098
jfreechart,body,CR,0.7560975609756098
jfreechart,body,CR,0.7073170731707317
jfreechart,name,CR,0.9024390243902439
jfreechart,name,MT,0.5714285714285714
jfreechart,body,MT,0.5714285714285714
jfreechart,name,MT,1.0
jfreechart,body,MT,1.0
jfreechart,name,MT,1.0
jfreechart,body,MT,1.0
jfreechart,body,MT,1.0
jfreechart,body,MT,1.0
jfreechart,name,MT,1.0
jfreechart,name,MT,1.0
jfreechart,name,MT,1.0
jfreechart,body,MT,0.8571428571428571
jfreechart,body,MT,0.5714285714285714
jfreechart,name,ER,0.5333333333333333
jfreechart,body,MT,1.0
jfreechart,name,MT,1.0
jfreechart,name,MT,1.0
jfreechart,name,CR,0.7142857142857143
jfreechart,name,MT,0.75
jfreechart,body,MT,0.8888888888888888
jfreechart,body,MT,1.0
jfreechart,name,MT,1.0
jfreechart,name,MT,0.8888888888888888
jfreechart,name,MT,1.0
jfreechart,name,MT,0.8571428571428571
jfreechart,body,MT,0.8571428571428571
jfreechart,body,MT,0.75
jfreechart,name,MT,0.75
jfreechart,body,ER,0.5555555555555556
jfreechart,body,ER,0.5555555555555556
jfreechart,name,MT,0.5333333333333333
jfreechart,name,MT,1.0
jfreechart,body,MT,1.0
jfreechart,name,MT,0.5333333333333333
jfreechart,body,MT,1.0
jfreechart,name,ER,0.5333333333333333
jfreechart,body,MT,1.0
jfreechart,body,MT,0.5714285714285714
jfreechart,name,MT,0.8571428571428571
jfreechart,body,MT,0.8571428571428571
jfreechart,name,MT,0.8571428571428571
jfreechart,name,MT,0.6666666666666666
jfreechart,body,CR,0.7560975609756098
jfreechart,body,CR,0.7073170731707317
jfreechart,name,MT,1.0
jfreechart,name,MT,0.9917355371900827
jfreechart,body,MT,0.9834710743801653
jfreechart,name,MT,0.8571428571428571
jfreechart,name,MT,0.8888888888888888
jfreechart,name,MT,0.8571428571428571
jfreechart,body,MT,1.0
jfreechart,name,ER,0.5333333333333333
jfreechart,body,MT,1.0
jfreechart,name,MT,1.0
jfreechart,name,CR,0.5714285714285714
jfreechart,body,MT,0.8571428571428571
jfreechart,body,MT,0.75
jfreechart,name,MT,0.9917355371900827
jfreechart,body,MT,0.9834710743801653
jfreechart,body,MT,1.0
jfreechart,name,MT,1.0
jfreechart,name,CR,0.6666666666666666
jfreechart,name,MT,0.6666666666666666
jfreechart,name,CR,0.75
jfreechart,name,MT,0.8571428571428571
jfreechart,name,MT,0.6666666666666666
jfreechart,body,MT,1.0
jfreechart,name,ER,0.5333333333333333
jfreechart,body,CR,0.7560975609756098
jfreechart,body,CR,0.7073170731707317
jfreechart,body,MT,0.75
jfreechart,name,MT,0.75
jfreechart,body,MT,1.0
jfreechart,name,MT,1.0
jfreechart,body,CR,0.6666666666666666
jfreechart,name,MT,1.0
jfreechart,body,MT,1.0
jfreechart,name,MT,1.0
jfreechart,body,MT,0.75
jfreechart,name,MT,0.9024390243902439
jfreechart,name,MT,1.0
jfreechart,name,MT,1.0
jfreechart,body,MT,0.7073170731707317
jfreechart,body,MT,0.926829268292683
jfreechart,body,MT,1.0
jfreechart,body,MT,0.7560975609756098
jfreechart,name,MT,0.8571428571428571
jfreechart,body,CR,0.6666666666666666
jfreechart,body,CR,0.6666666666666666
jfreechart,body,ER,0.5555555555555556
jfreechart,body,MT,0.9834710743801653
jfreechart,name,MT,0.9917355371900827
jfreechart,body,MT,1.0
jfreechart,name,MT,0.5333333333333333
jfreechart,name,MT,0.6666666666666666
jfreechart,body,MT,0.9834710743801653
jfreechart,name,MT,0.9917355371900827
jfreechart,body,MT,1.0
jfreechart,name,MT,1.0
jfreechart,body,MT,0.8571428571428571
jfreechart,name,MT,0.9917355371900827
jfreechart,body,MT,0.9834710743801653
jfreechart,name,MT,1.0
jfreechart,name,MT,0.8571428571428571
jfreechart,name,MT,0.9917355371900827
jfreechart,body,MT,0.9834710743801653
jfreechart,name,MT,0.8571428571428571
jfreechart,name,MT,1.0
jfreechart,body,MT,1.0
jfreechart,name,MT,0.75
jfreechart,body,MT,0.75
jfreechart,body,MT,0.5714285714285714
jfreechart,body,ER,0.5555555555555556
jfreechart,body,ER,0.5555555555555556
jfreechart,name,MT,0.8571428571428571
jfreechart,body,MT,0.5714285714285714
jfreechart,body,CR,0.7560975609756098
jfreechart,body,CR,0.7073170731707317
jfreechart,name,MT,0.5333333333333333
jfreechart,name,MT,1.0
jfreechart,body,MT,1.0
jfreechart,body,ER,0.7777777777777778
jfreechart,name,ER,0.7777777777777778
jfreechart,body,MT,1.0
jfreechart,body,MT,1.0
jfreechart,name,MT,1.0
jfreechart,name,MT,1.0
jfreechart,name,MT,0.8571428571428571
jfreechart,name,MT,0.6666666666666666
jfreechart,name,MT,0.8571428571428571
jfreechart,body,MT,0.9834710743801653
jfreechart,name,MT,0.9917355371900827
jfreechart,name,MT,0.5714285714285714
jfreechart,name,MT,0.9917355371900827
jfreechart,body,MT,0.9834710743801653
jfreechart,name,MT,0.6666666666666666
jfreechart,name,MT,0.8571428571428571
jfreechart,body,CR,0.7073170731707317
jfreechart,body,CR,0.7560975609756098
jfreechart,name,MT,0.8571428571428571
jfreechart,body,ER,0.5555555555555556
jfreechart,body,ER,0.6666666666666666
jfreechart,name,MT,1.0
jfreechart,body,MT,0.75
jfreechart,body,ER,0.6666666666666666
jfreechart,body,ER,0.5555555555555556
jfreechart,body,MT,0.5714285714285714
jfreechart,name,MT,0.9917355371900827
jfreechart,body,MT,0.9834710743801653
jfreechart,name,ER,0.5333333333333333
jfreechart,body,MT,1.0
jfreechart,body,MT,1.0
jfreechart,name,MT,1.0
jfreechart,name,MT,1.0
jfreechart,name,MT,0.5333333333333333
jfreechart,body,MT,1.0
jfreechart,body,MT,1.0
jfreechart,body,MT,1.0
jfreechart,name,MT,1.0
jfreechart,name,MT,1.0
jfreechart,name,MT,1.0
jfreechart,name,MT,0.7142857142857143
jfreechart,body,MT,0.8571428571428571
jfreechart,body,MT,0.5714285714285714
jfreechart,body,MT,0.75
jfreechart,name,MT,0.8571428571428571
jfreechart,body,MT,0.6
jfreechart,name,CR,0.6666666666666666
jfreechart,name,ER,0.5333333333333333
jfreechart,body,MT,1.0
jfreechart,name,MT,1.0
jfreechart,name,MT,1.0
jfreechart,body,MT,1.0
jfreechart,body,MT,1.0
jfreechart,body,MT,0.9834710743801653
jfreechart,name,MT,0.8571428571428571
jfreechart,name,CR,0.6666666666666666
jfreechart,name,MT,0.8571428571428571
jfreechart,name,MT,1.0
jfreechart,body,MT,0.75
jfreechart,name,MT,1.0
jfreechart,body,MT,1.0
jfreechart,name,MT,0.8571428571428571
jfreechart,name,MT,0.8571428571428571
jfreechart,body,MT,0.8571428571428571
jfreechart,body,MT,0.9
jfreechart,body,ER,0.6
jfreechart,name,MT,0.9
jfreechart,body,MT,0.75
jfreechart,name,MT,0.75
jfreechart,body,MT,0.75
jfreechart,name,MT,0.75
jfreechart,name,MT,0.7142857142857143
jfreechart,name,MT,0.8571428571428571
jfreechart,name,MT,1.0
jfreechart,body,MT,1.0
jfreechart,name,MT,1.0
jfreechart,name,MT,0.7142857142857143
jfreechart,body,MT,0.5714285714285714
jfreechart,body,MT,0.8571428571428571
jfreechart,name,MT,0.8571428571428571
jfreechart,name,MT,0.5555555555555556
jfreechart,body,MT,0.5555555555555556
jfreechart,name,MT,1.0
jfreechart,name,MT,0.6666666666666666
jfreechart,body,CR,0.7073170731707317
jfreechart,body,MT,0.875
jfreechart,name,MT,0.7142857142857143
jfreechart,body,MT,0.5714285714285714
jfreechart,body,MT,0.8571428571428571
jfreechart,body,ER,0.6
jfreechart,body,CR,0.8888888888888888
jfreechart,name,MT,0.75
jfreechart,body,MT,0.75
jfreechart,body,CR,0.7073170731707317
jfreechart,name,MT,1.0
jfreechart,body,MT,0.75
jfreechart,body,MT,0.75
jfreechart,name,MT,0.75
jfreechart,name,ER,0.75
jfreechart,body,ER,0.75
jfreechart,body,MT,1.0
jfreechart,name,MT,1.0
jfreechart,body,MT,0.5714285714285714
jfreechart,name,MT,0.9411764705882353
jfreechart,body,MT,0.9411764705882353
jfreechart,name,MT,0.5333333333333333
jfreechart,name,MT,1.0
jfreechart,body,MT,1.0
jfreechart,body,ER,0.7777777777777778
jfreechart,body,MT,1.0
jfreechart,name,ER,0.7777777777777778
jfreechart,name,MT,1.0
jfreechart,name,MT,0.8888888888888888
jfreechart,name,MT,1.0
jfreechart,name,ER,0.7777777777777778
jfreechart,name,MT,0.8888888888888888
jfreechart,body,ER,0.7777777777777778
jfreechart,name,MT,1.0
jfreechart,body,ER,0.75
jfreechart,name,ER,0.75
jfreechart,name,MT,1.0
jfreechart,body,MT,0.8571428571428571
jfreechart,name,MT,0.8571428571428571
jfreechart,name,MT,0.5333333333333333
jfreechart,body,MT,0.6666666666666666
jfreechart,body,CR,0.6666666666666666
jfreechart,body,CR,0.6666666666666666
jfreechart,name,MT,1.0
jfreechart,body,MT,1.0
jfreechart,body,MT,1.0
jfreechart,name,ER,0.5333333333333333
jfreechart,name,CR,0.5333333333333333
jfreechart,name,MT,0.8571428571428571
jfreechart,body,MT,1.0
jfreechart,name,MT,1.0
jfreechart,name,MT,0.5714285714285714
jfreechart,body,MT,0.5714285714285714
jfreechart,body,MT,1.0
jfreechart,name,ER,0.5333333333333333
jfreechart,body,MT,1.0
jfreechart,body,MT,1.0
jfreechart,body,MT,1.0
