type,category,overlap
name,0,0.0
name,0,0.5555555555555556
name,0,0.9823529411764705
name,0,0.0
name,0,1.0
name,0,0.43478260869565216
name,0,0.9823529411764705
name,0,1.0
name,0,1.0
name,0,0.0
name,3,1.0
name,3,1.0
name,3,1.0
name,0,1.0
name,0,0.8333333333333334
name,0,1.0
name,0,0.9823529411764705
name,0,1.0
name,0,1.0
name,3,0.9823529411764705
name,0,0.5
name,0,0.5555555555555556
name,0,0.43478260869565216
name,0,1.0
name,0,0.6
name,0,0.0
name,0,0.0
name,3,0.0
name,0,0.0
name,0,1.0
name,0,0.0
name,0,1.0
name,0,0.8333333333333334
name,0,1.0
name,2,0.43478260869565216
name,0,0.0
name,0,0.0
name,3,0.0
name,0,0.0
name,0,1.0
name,0,0.0
name,0,0.8888888888888888
name,0,0.5555555555555556
name,0,0.5
name,0,0.0
name,0,1.0
name,0,0.43478260869565216
name,2,0.43478260869565216
name,0,0.0
name,0,0.5555555555555556
name,0,0.0
name,0,0.0
name,0,0.9823529411764705
name,0,0.0
name,0,0.0
name,0,0.0
name,2,0.43478260869565216
name,0,1.0
name,3,0.0
name,0,0.9823529411764705
name,0,1.0
name,3,0.0
name,0,0.0
name,3,0.0
name,0,0.0
name,0,0.0
name,2,0.43478260869565216
name,0,0.75
name,0,1.0
name,0,1.0
name,0,0.6
name,0,0.975
name,0,0.7111111111111111
name,0,1.0
name,0,0.0
name,0,0.9823529411764705
name,0,0.43478260869565216
name,0,0.0
name,0,0.9823529411764705
name,0,1.0
name,0,0.9823529411764705
name,0,0.0
name,0,0.0
name,0,0.9823529411764705
name,0,0.0
name,0,1.0
name,0,0.75
name,0,0.0
name,0,0.0
name,0,1.0
name,2,1.0
name,0,1.0
name,0,1.0
name,0,0.0
name,0,0.0
name,0,0.0
name,0,0.9823529411764705
name,0,0.0
name,0,0.9823529411764705
name,0,0.0
name,0,0.0
name,0,0.0
name,0,0.6
name,0,0.9823529411764705
name,2,0.43478260869565216
name,0,0.7142857142857143
name,0,1.0
name,0,0.0
name,0,1.0
name,0,1.0
name,0,1.0
name,0,0.21428571428571427
name,0,0.0
name,3,0.0
name,2,0.43478260869565216
name,0,1.0
name,0,1.0
name,0,0.0
name,3,0.0
name,0,0.0
name,0,0.6
name,0,1.0
name,0,0.0
name,0,0.5555555555555556
name,0,1.0
name,0,0.75
name,0,0.75
name,0,0.0
